step,total_loss,endpoint_loss,alignment_loss,response_loss,gradient_norm
1,3.2565865516662598,2.704855442047119,0.0,0.5517311096191406,1.0814662648463729
2,3.547614574432373,2.7331156730651855,0.0,0.814499020576477,0.8902514548997663
3,3.7740001678466797,2.7470388412475586,0.0,1.026961326599121,1.2881721836646043
4,3.761430263519287,3.203841209411621,0.0,0.5575889945030212,0.42993540345015946
5,4.176154613494873,3.4205989837646484,0.0,0.7555558085441589,0.7769868638961921
6,3.7801401615142822,3.044766902923584,0.0,0.735373318195343,0.7882930133888014
7,4.736811637878418,3.7868430614471436,0.0,0.9499686360359192,2.237162070516732
8,3.751810312271118,2.9768197536468506,0.0,0.7749904990196228,1.586334712968582
9,4.542982578277588,3.9522922039031982,0.0,0.5906904339790344,0.9650785049878658
10,3.7494935989379883,3.120418071746826,0.0,0.6290754079818726,1.2220940958940933
11,2.673379898071289,1.9749727249145508,0.0,0.6984072923660278,0.88181401635563
12,3.0005106925964355,2.2595248222351074,0.0,0.7409858107566833,0.5950360093390166
13,3.905097484588623,3.467043161392212,0.0,0.4380544126033783,1.7567264504172133
