seed,arm,steps,batch_size,parameters,elapsed_seconds,state_calls_per_step,predict_calls_per_step,forward_calls_per_step,total_forward_calls,measured_flops_per_step,flop_measurement_status,compute_contract,alignment_score_physical_weight,alignment_gradient_norm_mean,response_gradient_norm_mean,raw_alignment_gradient_norm_mean,raw_response_gradient_norm_mean,checkpoint_rule,execution_device,batch_plan_contract,response_macro_contract,response_all_anchor_bundles_per_step,response_active_anchor_bundles_per_step,response_null_anchor_bundles_per_step,response_mask_reuse_key,final_total_loss,final_endpoint_loss,final_endpoint_world_loss,final_endpoint_natural_loss,final_alignment_loss,final_alignment_active_loss,final_alignment_active_fixed_loss,final_alignment_active_effect_aware_loss,final_alignment_null_loss,final_response_loss,final_response_target_loss,final_response_physical_loss,final_response_active_loss,final_response_null_loss,checkpoint,checkpoint_sha256,alignment_scale,response_scale,alignment_null_tolerance,parallel_worker_count,artifact_label,dataset_sha256,config_sha256,fixture,scientific_use,source_tree_sha256,requirements_lock_sha256,runtime_provenance_sha256
17,endpoint,2,4,15102,0.4388713911175728,2,2,4,8,1277760,TORCH_DISPATCH_COUNTER_PER_ARM,all arms reuse the identical deterministic batch plan; disabled alignment/response supervision skips its forward graph and has zero raw and weighted gradient,1.0,0.0,0.0,0.0,0.0,fixed_final_step_no_target_selection,cuda:0,identical bank/edge/direction/mask/query sequence for all arms at a seed,"independent cluster-bank anchor-edge macro samples for all-directed-edge target, active conditional, and null conditional terms; complete sibling bundles use inverse bundle-size weights",4,4,4,scene/source/position/query across target and conditional estimators,2.7329349517822266,2.7329349517822266,1.9179539680480957,1.6299622058868408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,checkpoints/seed_17/endpoint.pt,2fc47cbd227ebeb302b7ac5b8b484628a5c5d712b505649f6cf74cab6c61c839,0.03999561071395874,3.209302544593811,0.0,2,csi-pairs-v6-software-fixture,ded1ec639ff3e6fd5eba769d42db1ed36222a48af333a30a670254b30b164b74,620f300cbec1f56da4691882bc7dbe52593dc597fc62f6ae925c0f6ac72f1c6b,True,FORBIDDEN,0901433cbfe906073eae45118a1466e03afab04a766a3061a988ffe089ba4e01,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,8128818d8ea8f5c3517d04da28955f010269df61e756429957a0a032386f6c51
17,alignment,2,4,15102,1.463755402714014,10,10,20,40,42166080,TORCH_DISPATCH_COUNTER_PER_ARM,all arms reuse the identical deterministic batch plan; disabled alignment/response supervision skips its forward graph and has zero raw and weighted gradient,1.0,0.002697272691875696,0.0,0.0001078769510058919,0.0,fixed_final_step_no_target_selection,cuda:1,identical bank/edge/direction/mask/query sequence for all arms at a seed,"independent cluster-bank anchor-edge macro samples for all-directed-edge target, active conditional, and null conditional terms; complete sibling bundles use inverse bundle-size weights",4,4,4,scene/source/position/query across target and conditional estimators,3.7329721450805664,2.7328224182128906,1.9177517890930176,1.6301414966583252,0.04000160098075867,0.04000160098075867,0.04000160098075867,0.017620980739593506,6.214619929778564e-10,0.0,0.0,0.0,0.0,0.0,checkpoints/seed_17/alignment.pt,fd2727bd579886e09a31ee7b1f7ce3067ff67c56c882ffe966e84512e6b06b07,0.03999561071395874,3.209302544593811,0.0,2,csi-pairs-v6-software-fixture,ded1ec639ff3e6fd5eba769d42db1ed36222a48af333a30a670254b30b164b74,620f300cbec1f56da4691882bc7dbe52593dc597fc62f6ae925c0f6ac72f1c6b,True,FORBIDDEN,0901433cbfe906073eae45118a1466e03afab04a766a3061a988ffe089ba4e01,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,8128818d8ea8f5c3517d04da28955f010269df61e756429957a0a032386f6c51
17,response,2,4,15102,0.8342017754912376,5,10,15,30,7957008,TORCH_DISPATCH_COUNTER_PER_ARM,all arms reuse the identical deterministic batch plan; disabled alignment/response supervision skips its forward graph and has zero raw and weighted gradient,1.0,0.0,0.03080017864704132,0.0,0.09884708374738693,fixed_final_step_no_target_selection,cuda:0,identical bank/edge/direction/mask/query sequence for all arms at a seed,"independent cluster-bank anchor-edge macro samples for all-directed-edge target, active conditional, and null conditional terms; complete sibling bundles use inverse bundle-size weights",4,4,4,scene/source/position/query across target and conditional estimators,3.547614574432373,2.7331156730651855,1.9199376106262207,1.6263561248779297,0.0,0.0,0.0,0.0,0.0,2.613973617553711,1.2882449626922607,1.1491103172302246,0.1766182780265808,0.0,checkpoints/seed_17/response.pt,c7981f3ab2873e3468e7fdfd5161f1b5e62b02ab2d8d6518d35d79262d3d60dd,0.03999561071395874,3.209302544593811,0.0,2,csi-pairs-v6-software-fixture,ded1ec639ff3e6fd5eba769d42db1ed36222a48af333a30a670254b30b164b74,620f300cbec1f56da4691882bc7dbe52593dc597fc62f6ae925c0f6ac72f1c6b,True,FORBIDDEN,0901433cbfe906073eae45118a1466e03afab04a766a3061a988ffe089ba4e01,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,8128818d8ea8f5c3517d04da28955f010269df61e756429957a0a032386f6c51
17,full,2,4,15102,1.8030114583671093,13,18,31,62,48845328,TORCH_DISPATCH_COUNTER_PER_ARM,all arms reuse the identical deterministic batch plan; disabled alignment/response supervision skips its forward graph and has zero raw and weighted gradient,1.0,0.0027078805142082274,0.030796876177191734,0.00010830119936144911,0.09883648529648781,fixed_final_step_no_target_selection,cuda:1,identical bank/edge/direction/mask/query sequence for all arms at a seed,"independent cluster-bank anchor-edge macro samples for all-directed-edge target, active conditional, and null conditional terms; complete sibling bundles use inverse bundle-size weights",4,4,4,scene/source/position/query across target and conditional estimators,4.547721862792969,2.7330591678619385,1.9198715686798096,1.6263751983642578,0.04000183939933777,0.04000183939933777,0.04000183939933777,0.017621219158172607,5.737206265621353e-10,2.614000082015991,1.2882747650146484,1.1491070985794067,0.17661836743354797,0.0,checkpoints/seed_17/full.pt,b4f69e0ade1b7e5d32b5b22e1d6c8c5d742bea3c726d96399ab0d50ffad98700,0.03999561071395874,3.209302544593811,0.0,2,csi-pairs-v6-software-fixture,ded1ec639ff3e6fd5eba769d42db1ed36222a48af333a30a670254b30b164b74,620f300cbec1f56da4691882bc7dbe52593dc597fc62f6ae925c0f6ac72f1c6b,True,FORBIDDEN,0901433cbfe906073eae45118a1466e03afab04a766a3061a988ffe089ba4e01,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,8128818d8ea8f5c3517d04da28955f010269df61e756429957a0a032386f6c51
23,endpoint,2,4,15102,0.13341004494577646,2,2,4,8,1277760,TORCH_DISPATCH_COUNTER_PER_ARM,all arms reuse the identical deterministic batch plan; disabled alignment/response supervision skips its forward graph and has zero raw and weighted gradient,1.0,0.0,0.0,0.0,0.0,fixed_final_step_no_target_selection,cuda:0,identical bank/edge/direction/mask/query sequence for all arms at a seed,"independent cluster-bank anchor-edge macro samples for all-directed-edge target, active conditional, and null conditional terms; complete sibling bundles use inverse bundle-size weights",4,4,4,scene/source/position/query across target and conditional estimators,3.020725727081299,3.020725727081299,1.6950815916061401,2.6512882709503174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,checkpoints/seed_23/endpoint.pt,8454f508a699a5b5123c6b3c20160c308e4779e26b16c27ea216bf3bbf49a642,0.03999561071395874,3.209302544593811,0.0,2,csi-pairs-v6-software-fixture,ded1ec639ff3e6fd5eba769d42db1ed36222a48af333a30a670254b30b164b74,620f300cbec1f56da4691882bc7dbe52593dc597fc62f6ae925c0f6ac72f1c6b,True,FORBIDDEN,0901433cbfe906073eae45118a1466e03afab04a766a3061a988ffe089ba4e01,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,8128818d8ea8f5c3517d04da28955f010269df61e756429957a0a032386f6c51
23,alignment,2,4,15102,0.8329943707212806,10,10,20,40,42166080,TORCH_DISPATCH_COUNTER_PER_ARM,all arms reuse the identical deterministic batch plan; disabled alignment/response supervision skips its forward graph and has zero raw and weighted gradient,1.0,0.015124036464840174,0.0,0.000604895583819598,0.0,fixed_final_step_no_target_selection,cuda:1,identical bank/edge/direction/mask/query sequence for all arms at a seed,"independent cluster-bank anchor-edge macro samples for all-directed-edge target, active conditional, and null conditional terms; complete sibling bundles use inverse bundle-size weights",4,4,4,scene/source/position/query across target and conditional estimators,4.021949291229248,3.020611047744751,1.6951335668563843,2.6509549617767334,0.04004913568496704,0.04004913568496704,0.04004913568496704,0.012551099061965942,1.027476770332214e-09,0.0,0.0,0.0,0.0,0.0,checkpoints/seed_23/alignment.pt,142883ac4f804795406683557b568bf240f987722efda4218dee59b93ee998cc,0.03999561071395874,3.209302544593811,0.0,2,csi-pairs-v6-software-fixture,ded1ec639ff3e6fd5eba769d42db1ed36222a48af333a30a670254b30b164b74,620f300cbec1f56da4691882bc7dbe52593dc597fc62f6ae925c0f6ac72f1c6b,True,FORBIDDEN,0901433cbfe906073eae45118a1466e03afab04a766a3061a988ffe089ba4e01,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,8128818d8ea8f5c3517d04da28955f010269df61e756429957a0a032386f6c51
23,response,2,4,15102,0.9126677317544818,5,10,15,30,7584616,TORCH_DISPATCH_COUNTER_PER_ARM,all arms reuse the identical deterministic batch plan; disabled alignment/response supervision skips its forward graph and has zero raw and weighted gradient,1.0,0.0,0.041195210069417953,0.0,0.13220790773630142,fixed_final_step_no_target_selection,cuda:0,identical bank/edge/direction/mask/query sequence for all arms at a seed,"independent cluster-bank anchor-edge macro samples for all-directed-edge target, active conditional, and null conditional terms; complete sibling bundles use inverse bundle-size weights",4,4,4,scene/source/position/query across target and conditional estimators,3.715641736984253,3.021780490875244,1.6981844902038574,2.6471920013427734,0.0,0.0,0.0,0.0,0.0,2.2268104553222656,0.7823545932769775,1.0363003015518188,0.408155620098114,0.0,checkpoints/seed_23/response.pt,fa9db01e89bcaa1685a9c39721bfbf7fb77db8b3604a638c8ca71509b92c5571,0.03999561071395874,3.209302544593811,0.0,2,csi-pairs-v6-software-fixture,ded1ec639ff3e6fd5eba769d42db1ed36222a48af333a30a670254b30b164b74,620f300cbec1f56da4691882bc7dbe52593dc597fc62f6ae925c0f6ac72f1c6b,True,FORBIDDEN,0901433cbfe906073eae45118a1466e03afab04a766a3061a988ffe089ba4e01,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,8128818d8ea8f5c3517d04da28955f010269df61e756429957a0a032386f6c51
23,full,2,4,15102,1.3469431372359395,13,18,31,62,48472936,TORCH_DISPATCH_COUNTER_PER_ARM,all arms reuse the identical deterministic batch plan; disabled alignment/response supervision skips its forward graph and has zero raw and weighted gradient,1.0,0.014882199000567198,0.04119625687599182,0.0005952240899205208,0.13221126794815063,fixed_final_step_no_target_selection,cuda:1,identical bank/edge/direction/mask/query sequence for all arms at a seed,"independent cluster-bank anchor-edge macro samples for all-directed-edge target, active conditional, and null conditional terms; complete sibling bundles use inverse bundle-size weights",4,4,4,scene/source/position/query across target and conditional estimators,4.717324733734131,3.0220794677734375,1.69858717918396,2.646984338760376,0.040047675371170044,0.040047675371170044,0.040047675371170044,0.012549638748168945,1.3713084001665266e-09,2.227074384689331,0.7824033498764038,1.036515474319458,0.408155620098114,0.0,checkpoints/seed_23/full.pt,814d4276ec2c867f5ee258b719a5ddc0b2997377298a77081341962d8c1b37dd,0.03999561071395874,3.209302544593811,0.0,2,csi-pairs-v6-software-fixture,ded1ec639ff3e6fd5eba769d42db1ed36222a48af333a30a670254b30b164b74,620f300cbec1f56da4691882bc7dbe52593dc597fc62f6ae925c0f6ac72f1c6b,True,FORBIDDEN,0901433cbfe906073eae45118a1466e03afab04a766a3061a988ffe089ba4e01,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,8128818d8ea8f5c3517d04da28955f010269df61e756429957a0a032386f6c51
31,endpoint,2,4,15102,0.12589592672884464,2,2,4,8,1277760,TORCH_DISPATCH_COUNTER_PER_ARM,all arms reuse the identical deterministic batch plan; disabled alignment/response supervision skips its forward graph and has zero raw and weighted gradient,1.0,0.0,0.0,0.0,0.0,fixed_final_step_no_target_selection,cuda:0,identical bank/edge/direction/mask/query sequence for all arms at a seed,"independent cluster-bank anchor-edge macro samples for all-directed-edge target, active conditional, and null conditional terms; complete sibling bundles use inverse bundle-size weights",4,4,4,scene/source/position/query across target and conditional estimators,4.250656604766846,4.250656604766846,2.621838331222534,3.257636547088623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,checkpoints/seed_31/endpoint.pt,d2eaa1c5e5ac3a3f8e0aa78714746409e2bc37df11cb0d5d0d3f366a0d65343a,0.03999561071395874,3.209302544593811,0.0,2,csi-pairs-v6-software-fixture,ded1ec639ff3e6fd5eba769d42db1ed36222a48af333a30a670254b30b164b74,620f300cbec1f56da4691882bc7dbe52593dc597fc62f6ae925c0f6ac72f1c6b,True,FORBIDDEN,0901433cbfe906073eae45118a1466e03afab04a766a3061a988ffe089ba4e01,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,8128818d8ea8f5c3517d04da28955f010269df61e756429957a0a032386f6c51
31,alignment,2,4,15102,0.8260454488918185,10,10,20,40,42166080,TORCH_DISPATCH_COUNTER_PER_ARM,all arms reuse the identical deterministic batch plan; disabled alignment/response supervision skips its forward graph and has zero raw and weighted gradient,1.0,0.011455182218924165,0.0,0.000458156006061472,0.0,fixed_final_step_no_target_selection,cuda:1,identical bank/edge/direction/mask/query sequence for all arms at a seed,"independent cluster-bank anchor-edge macro samples for all-directed-edge target, active conditional, and null conditional terms; complete sibling bundles use inverse bundle-size weights",4,4,4,scene/source/position/query across target and conditional estimators,5.2497358322143555,4.250096321105957,2.621561050415039,3.2570700645446777,0.03998119756579399,0.039981186389923096,0.039981186389923096,0.010121554136276245,1.1664067045558113e-08,0.0,0.0,0.0,0.0,0.0,checkpoints/seed_31/alignment.pt,4d010b2b8daaf5053e468e0a5e62937504454f8c53f130344938cd5c76b28411,0.03999561071395874,3.209302544593811,0.0,2,csi-pairs-v6-software-fixture,ded1ec639ff3e6fd5eba769d42db1ed36222a48af333a30a670254b30b164b74,620f300cbec1f56da4691882bc7dbe52593dc597fc62f6ae925c0f6ac72f1c6b,True,FORBIDDEN,0901433cbfe906073eae45118a1466e03afab04a766a3061a988ffe089ba4e01,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,8128818d8ea8f5c3517d04da28955f010269df61e756429957a0a032386f6c51
