unit_id,model_name,condition,bank_id,position_id,localization_error_m,prediction_x,prediction_y,source_role,dataset_sha256,config_sha256
fixture-bank-12:source-a:fixture-bank-12:p0000,SigMap,map,fixture-bank-12,source-a:fixture-bank-12:p0000,2.3521172435076143,-0.1848013997077942,-0.18778853118419647,source_final_unseen_bank,ded1ec639ff3e6fd5eba769d42db1ed36222a48af333a30a670254b30b164b74,620f300cbec1f56da4691882bc7dbe52593dc597fc62f6ae925c0f6ac72f1c6b
fixture-bank-12:source-a:fixture-bank-12:p0000,SigMap,scene_id,fixture-bank-12,source-a:fixture-bank-12:p0000,2.3520790676787025,-0.18594655394554138,-0.18823005259037018,source_final_unseen_bank,ded1ec639ff3e6fd5eba769d42db1ed36222a48af333a30a670254b30b164b74,620f300cbec1f56da4691882bc7dbe52593dc597fc62f6ae925c0f6ac72f1c6b
fixture-bank-12:source-a:fixture-bank-12:p0000,SigMap,map_swap,fixture-bank-12,source-a:fixture-bank-12:p0000,2.351906793548902,-0.18595705926418304,-0.1884162873029709,source_final_unseen_bank,ded1ec639ff3e6fd5eba769d42db1ed36222a48af333a30a670254b30b164b74,620f300cbec1f56da4691882bc7dbe52593dc597fc62f6ae925c0f6ac72f1c6b
fixture-bank-12:source-a:fixture-bank-12:p0000,SigMap,id_swap,fixture-bank-12,source-a:fixture-bank-12:p0000,2.3520721154881277,-0.18623130023479462,-0.18833725154399872,source_final_unseen_bank,ded1ec639ff3e6fd5eba769d42db1ed36222a48af333a30a670254b30b164b74,620f300cbec1f56da4691882bc7dbe52593dc597fc62f6ae925c0f6ac72f1c6b
fixture-bank-12:source-a:fixture-bank-12:p0001,SigMap,map,fixture-bank-12,source-a:fixture-bank-12:p0001,2.3512216559658476,-0.18825307488441467,-0.18341660499572754,source_final_unseen_bank,ded1ec639ff3e6fd5eba769d42db1ed36222a48af333a30a670254b30b164b74,620f300cbec1f56da4691882bc7dbe52593dc597fc62f6ae925c0f6ac72f1c6b
fixture-bank-12:source-a:fixture-bank-12:p0001,SigMap,scene_id,fixture-bank-12,source-a:fixture-bank-12:p0001,2.350365191895976,-0.18929177522659302,-0.18379256129264832,source_final_unseen_bank,ded1ec639ff3e6fd5eba769d42db1ed36222a48af333a30a670254b30b164b74,620f300cbec1f56da4691882bc7dbe52593dc597fc62f6ae925c0f6ac72f1c6b
fixture-bank-12:source-a:fixture-bank-12:p0001,SigMap,map_swap,fixture-bank-12,source-a:fixture-bank-12:p0001,2.350411715602145,-0.1893165558576584,-0.18400432169437408,source_final_unseen_bank,ded1ec639ff3e6fd5eba769d42db1ed36222a48af333a30a670254b30b164b74,620f300cbec1f56da4691882bc7dbe52593dc597fc62f6ae925c0f6ac72f1c6b
fixture-bank-12:source-a:fixture-bank-12:p0001,SigMap,id_swap,fixture-bank-12,source-a:fixture-bank-12:p0001,2.350137394160741,-0.18957577645778656,-0.18391455709934235,source_final_unseen_bank,ded1ec639ff3e6fd5eba769d42db1ed36222a48af333a30a670254b30b164b74,620f300cbec1f56da4691882bc7dbe52593dc597fc62f6ae925c0f6ac72f1c6b
fixture-bank-12:source-a:fixture-bank-12:p0002,SigMap,map,fixture-bank-12,source-a:fixture-bank-12:p0002,0.797591564204664,-0.1755201816558838,-0.19132262468338013,source_final_unseen_bank,ded1ec639ff3e6fd5eba769d42db1ed36222a48af333a30a670254b30b164b74,620f300cbec1f56da4691882bc7dbe52593dc597fc62f6ae925c0f6ac72f1c6b
fixture-bank-12:source-a:fixture-bank-12:p0002,SigMap,scene_id,fixture-bank-12,source-a:fixture-bank-12:p0002,0.7985672445001485,-0.1766655147075653,-0.19179028272628784,source_final_unseen_bank,ded1ec639ff3e6fd5eba769d42db1ed36222a48af333a30a670254b30b164b74,620f300cbec1f56da4691882bc7dbe52593dc597fc62f6ae925c0f6ac72f1c6b
