model_name,algorithm_seed,paper_label,implementation_status,split_role,city_id,independent_unit_id,bank_id,position_id,world,budget,draw,localization_error_m,predicted_x_m,predicted_y_m,variance_x_m2,variance_y_m2,uncertainty,artifact_label,dataset_sha256,config_sha256,fixture,scientific_use,source_tree_sha256,requirements_lock_sha256,runtime_provenance_sha256
CSI-MAE,20260901,CSI-MAE paper-spec controlled implementation,paper-spec-controlled-implementation,source_final_unseen_bank,source-a,fixture-base-12,fixture-bank-12,source-a:fixture-bank-12:p0000,0,0,0,2.1517927646636963,-0.10369880497455597,-0.37170514464378357,0.817754864692688,0.39002448320388794,-1.1427384614944458,csi-pairs-v6-software-fixture,ded1ec639ff3e6fd5eba769d42db1ed36222a48af333a30a670254b30b164b74,620f300cbec1f56da4691882bc7dbe52593dc597fc62f6ae925c0f6ac72f1c6b,True,FORBIDDEN,0901433cbfe906073eae45118a1466e03afab04a766a3061a988ffe089ba4e01,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,8128818d8ea8f5c3517d04da28955f010269df61e756429957a0a032386f6c51
CSI-MAE,20260901,CSI-MAE paper-spec controlled implementation,paper-spec-controlled-implementation,source_final_unseen_bank,source-a,fixture-base-12,fixture-bank-12,source-a:fixture-bank-12:p0001,0,0,0,2.4410855770111084,-0.20296017825603485,-0.45534956455230713,0.7860738635063171,0.37555232644081116,-1.220062017440796,csi-pairs-v6-software-fixture,ded1ec639ff3e6fd5eba769d42db1ed36222a48af333a30a670254b30b164b74,620f300cbec1f56da4691882bc7dbe52593dc597fc62f6ae925c0f6ac72f1c6b,True,FORBIDDEN,0901433cbfe906073eae45118a1466e03afab04a766a3061a988ffe089ba4e01,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,8128818d8ea8f5c3517d04da28955f010269df61e756429957a0a032386f6c51
CSI-MAE,20260901,CSI-MAE paper-spec controlled implementation,paper-spec-controlled-implementation,source_final_unseen_bank,source-a,fixture-base-12,fixture-bank-12,source-a:fixture-bank-12:p0002,0,0,0,0.7857695817947388,-0.19266074895858765,-0.4475955069065094,0.7483370900154114,0.3774404525756836,-1.2642441987991333,csi-pairs-v6-software-fixture,ded1ec639ff3e6fd5eba769d42db1ed36222a48af333a30a670254b30b164b74,620f300cbec1f56da4691882bc7dbe52593dc597fc62f6ae925c0f6ac72f1c6b,True,FORBIDDEN,0901433cbfe906073eae45118a1466e03afab04a766a3061a988ffe089ba4e01,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,8128818d8ea8f5c3517d04da28955f010269df61e756429957a0a032386f6c51
CSI-MAE,20260901,CSI-MAE paper-spec controlled implementation,paper-spec-controlled-implementation,source_final_unseen_bank,source-a,fixture-base-12,fixture-bank-12,source-a:fixture-bank-12:p0003,0,0,0,1.0089569091796875,-0.09075065702199936,-0.3657117784023285,0.8098931908607483,0.3910427987575531,-1.1497911214828491,csi-pairs-v6-software-fixture,ded1ec639ff3e6fd5eba769d42db1ed36222a48af333a30a670254b30b164b74,620f300cbec1f56da4691882bc7dbe52593dc597fc62f6ae925c0f6ac72f1c6b,True,FORBIDDEN,0901433cbfe906073eae45118a1466e03afab04a766a3061a988ffe089ba4e01,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,8128818d8ea8f5c3517d04da28955f010269df61e756429957a0a032386f6c51
CSI-MAE,20260901,CSI-MAE paper-spec controlled implementation,paper-spec-controlled-implementation,source_final_unseen_bank,source-a,fixture-base-12,fixture-bank-12,source-a:fixture-bank-12:p0004,0,0,0,1.2514145374298096,-0.15937064588069916,-0.4072338342666626,0.7860354781150818,0.3820831775665283,-1.2028703689575195,csi-pairs-v6-software-fixture,ded1ec639ff3e6fd5eba769d42db1ed36222a48af333a30a670254b30b164b74,620f300cbec1f56da4691882bc7dbe52593dc597fc62f6ae925c0f6ac72f1c6b,True,FORBIDDEN,0901433cbfe906073eae45118a1466e03afab04a766a3061a988ffe089ba4e01,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,8128818d8ea8f5c3517d04da28955f010269df61e756429957a0a032386f6c51
CSI-MAE,20260901,CSI-MAE paper-spec controlled implementation,paper-spec-controlled-implementation,source_final_unseen_bank,source-a,fixture-base-12,fixture-bank-12,source-a:fixture-bank-12:p0005,0,0,0,1.5947847366333008,-0.19503304362297058,-0.4434163570404053,0.7915186882019043,0.3771255314350128,-1.2089788913726807,csi-pairs-v6-software-fixture,ded1ec639ff3e6fd5eba769d42db1ed36222a48af333a30a670254b30b164b74,620f300cbec1f56da4691882bc7dbe52593dc597fc62f6ae925c0f6ac72f1c6b,True,FORBIDDEN,0901433cbfe906073eae45118a1466e03afab04a766a3061a988ffe089ba4e01,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,8128818d8ea8f5c3517d04da28955f010269df61e756429957a0a032386f6c51
CSI-MAE,20260901,CSI-MAE paper-spec controlled implementation,paper-spec-controlled-implementation,source_final_unseen_bank,source-a,fixture-base-12,fixture-bank-12,source-a:fixture-bank-12:p0006,0,0,0,1.7203618288040161,-0.1281583607196808,-0.3895118534564972,0.8179885149002075,0.38690540194511414,-1.1504820585250854,csi-pairs-v6-software-fixture,ded1ec639ff3e6fd5eba769d42db1ed36222a48af333a30a670254b30b164b74,620f300cbec1f56da4691882bc7dbe52593dc597fc62f6ae925c0f6ac72f1c6b,True,FORBIDDEN,0901433cbfe906073eae45118a1466e03afab04a766a3061a988ffe089ba4e01,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,8128818d8ea8f5c3517d04da28955f010269df61e756429957a0a032386f6c51
CSI-MAE,20260901,CSI-MAE paper-spec controlled implementation,paper-spec-controlled-implementation,source_final_unseen_bank,source-a,fixture-base-12,fixture-bank-12,source-a:fixture-bank-12:p0007,0,0,0,2.007476806640625,-0.14668583869934082,-0.39830511808395386,0.8148673176765442,0.38456475734710693,-1.1603729724884033,csi-pairs-v6-software-fixture,ded1ec639ff3e6fd5eba769d42db1ed36222a48af333a30a670254b30b164b74,620f300cbec1f56da4691882bc7dbe52593dc597fc62f6ae925c0f6ac72f1c6b,True,FORBIDDEN,0901433cbfe906073eae45118a1466e03afab04a766a3061a988ffe089ba4e01,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,8128818d8ea8f5c3517d04da28955f010269df61e756429957a0a032386f6c51
CSI-MAE,20260901,CSI-MAE paper-spec controlled implementation,paper-spec-controlled-implementation,source_final_unseen_bank,source-b,fixture-base-13,fixture-bank-13,source-b:fixture-bank-13:p0000,1,0,0,3.0073347091674805,-0.14327798783779144,-0.3730795979499817,0.7820126414299011,0.38257837295532227,-1.206706166267395,csi-pairs-v6-software-fixture,ded1ec639ff3e6fd5eba769d42db1ed36222a48af333a30a670254b30b164b74,620f300cbec1f56da4691882bc7dbe52593dc597fc62f6ae925c0f6ac72f1c6b,True,FORBIDDEN,0901433cbfe906073eae45118a1466e03afab04a766a3061a988ffe089ba4e01,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,8128818d8ea8f5c3517d04da28955f010269df61e756429957a0a032386f6c51
CSI-MAE,20260901,CSI-MAE paper-spec controlled implementation,paper-spec-controlled-implementation,source_final_unseen_bank,source-b,fixture-base-13,fixture-bank-13,source-b:fixture-bank-13:p0001,1,0,0,2.5252201557159424,-0.07875996083021164,-0.3453543186187744,0.827271580696106,0.3917936682701111,-1.1266422271728516,csi-pairs-v6-software-fixture,ded1ec639ff3e6fd5eba769d42db1ed36222a48af333a30a670254b30b164b74,620f300cbec1f56da4691882bc7dbe52593dc597fc62f6ae925c0f6ac72f1c6b,True,FORBIDDEN,0901433cbfe906073eae45118a1466e03afab04a766a3061a988ffe089ba4e01,9548a24a4faf5db17b5251df407b4402de033ae8648ec321c850fe6105002cf1,8128818d8ea8f5c3517d04da28955f010269df61e756429957a0a032386f6c51
